PLAYER,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Luke  Ronchi,34,0,0,0,0,0,0,0,0,0,0,0
Luke  Wright,0,0,0,0,0,106,0,0,0,0,0,0
MF  Maharoof,125,0,31,0,0,0,0,0,0,0,0,0
MS  Dhoni,414,332,287,392,358,461,371,372,284,290,455,416
Mahela  Jayawardene,179,219,439,299,335,331,0,0,0,0,0,0
Mahesh  Rawat,34,16,0,0,0,0,0,0,0,0,0,0
Mahipal  Lomror,0,0,0,0,0,0,0,0,0,0,20,0
Manan  Vohra,0,0,0,0,0,161,324,82,161,229,55,0
Mandeep  Singh,0,0,4,47,432,260,24,157,0,188,252,165
Manish  Pandey,3,168,249,246,143,136,401,225,248,396,284,344
Manoj  Tiwary,104,9,237,359,260,146,152,57,0,324,47,0
Manpreet  Gony,35,13,0,0,0,45,0,0,0,0,0,0
Manpreet  Juneja,0,0,0,0,0,125,0,0,0,0,0,0
Manvinder  Bisla,0,0,218,72,213,255,3,37,0,0,0,0
Marcus  Stoinis,0,0,0,0,0,0,0,0,146,17,99,211
Mark  Boucher,225,150,0,0,0,0,0,0,0,0,0,0
Marlon  Samuels,0,0,0,0,124,0,0,0,0,29,0,0
Martin  Guptill,0,0,0,0,0,0,0,0,57,132,0,81
Matthew  Hayden,189,572,346,0,0,0,0,0,0,0,0,0
Mayank  Agarwal,0,0,0,141,225,67,115,213,27,26,120,332
Mayank  Markande,0,0,0,0,0,0,0,0,0,0,21,0
Michael  Clarke,0,0,0,0,98,0,0,0,0,0,0,0
Michael  Hussey,168,0,37,492,261,733,209,77,0,0,0,0
Michael  Klinger,0,0,0,73,0,0,0,0,0,0,0,0
Michael  Lumb,0,0,278,0,0,0,0,0,0,0,0,0
Misbah-ul-Haq,117,0,0,0,0,0,0,0,0,0,0,0
Mitchell  Johnson,0,0,0,0,0,39,56,31,0,20,16,0
Mitchell  Marsh,0,0,28,50,0,140,0,0,0,0,0,0
Mitchell  McClenaghan,0,0,0,0,0,0,0,13,34,16,0,11
Mitchell  Santner,0,0,0,0,0,0,0,0,0,0,0,32
Mitchell  Starc,0,0,0,0,0,0,85,11,0,0,0,0
Mithun  Manhas,0,0,157,114,120,0,35,0,0,0,0,0
Moeen  Ali,0,0,0,0,0,0,0,0,0,0,77,220
Mohammad  Kaif,176,0,28,41,0,0,0,0,0,0,0,0
Mohammad  Nabi,0,0,0,0,0,0,0,0,0,0,18,115
Mohammad  Shami,0,0,0,0,0,0,0,0,0,36,0,0
Mohammed  Siraj,0,0,0,0,0,0,0,0,0,0,25,0
Mohit  Sharma,0,0,0,0,0,0,0,28,32,51,0,0
Mohnish  Mishra,0,0,166,67,0,0,0,0,0,0,0,0
Moises  Henriques,0,38,11,0,0,165,9,287,182,277,0,0
Morne  Morkel,0,0,0,40,0,57,0,0,0,0,0,0
Munaf  Patel,0,33,0,0,0,0,0,0,0,0,0,0
Murali  Kartik,30,21,22,0,0,0,0,0,0,0,0,0
Murali  Vijay,0,60,458,434,336,312,207,251,453,0,12,64
Musavir  Khote,24,0,0,0,0,0,0,0,0,0,0,0
Naman  Ojha,0,168,377,160,255,9,232,137,136,79,0,1
Nathan  Coulter-Nile,0,0,0,0,0,0,0,20,0,14,0,0
Nic  Maddinson,0,0,0,0,0,0,16,0,0,0,0,0
Nicholas  Pooran,0,0,0,0,0,0,0,0,0,0,0,168
Nikhil  Naik,0,0,0,0,0,0,0,0,23,0,0,0
Niraj  Patel,103,18,0,0,0,0,0,0,0,0,0,0
Nitin  Saini,0,0,0,0,140,0,0,0,0,0,0,0
Nitish  Rana,0,0,0,0,0,0,0,0,104,333,304,344
Owais  Shah,0,0,115,0,340,0,0,0,0,0,0,0
Paras  Dogra,0,0,107,0,0,0,0,0,0,0,0,0
Parthiv  Patel,302,142,72,202,194,294,205,339,177,395,153,373
Pat  Cummins,0,0,0,0,0,0,0,0,0,77,0,0
Paul  Collingwood,0,0,203,0,0,0,0,0,0,0,0,0
Paul  Valthaty,0,0,0,463,30,0,0,0,0,0,0,0
Pawan  Negi,0,0,0,0,36,0,0,116,57,144,0,9
Pinal  Shah,34,53,0,0,0,0,0,0,0,0,0,0
Piyush  Chawla,90,31,62,48,106,64,31,54,27,2,27,42
Pradeep  Sahu,0,0,0,0,0,0,0,0,19,0,0,0
Praveen  Kumar,112,65,0,27,35,47,0,17,28,0,0,0
Prayas  Ray Barman,0,0,0,0,0,0,0,0,0,0,0,19
Prithvi  Shaw,0,0,0,0,0,0,0,0,0,0,245,353
Quinton  de Kock,0,0,0,0,0,6,153,122,445,0,201,529
RP  Singh,27,0,0,0,0,0,0,0,0,0,0,0
Rahul  Chahar,0,0,0,0,0,0,0,0,0,0,0,12
