PLAYER,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Shikhar  Dhawan,0,0,0,1,3,0,0,0,0,0,0,0
Shivam  Dube,0,0,0,0,0,0,0,0,0,0,0,0
Shivam  Mavi,0,0,0,0,0,0,0,0,0,0,5,0
Shivam  Sharma,0,0,0,0,0,0,3,1,0,0,0,0
Shivil  Kaushik,0,0,0,0,0,0,0,0,6,0,0,0
Shoaib  Ahmed,0,5,0,0,0,0,0,0,0,0,0,0
Shoaib  Akhtar,5,0,0,0,0,0,0,0,0,0,0,0
Shoaib  Malik,2,0,0,0,0,0,0,0,0,0,0,0
Shreyas  Gopal,0,0,0,0,0,0,6,1,0,0,11,20
Shrikant  Wagh,0,0,1,4,0,0,0,0,0,0,0,0
Shubham  Agarwal,0,0,0,0,0,0,0,0,0,1,0,0
Siddarth  Kaul,0,0,0,0,0,4,2,0,0,16,21,6
Siddharth  Chitnis,2,0,0,0,0,0,0,0,0,0,0,0
Siddharth  Trivedi,13,6,11,10,13,12,0,0,0,0,0,0
Sohail  Tanvir,22,0,0,0,0,0,0,0,0,0,0,0
Sourav  Ganguly,6,2,0,0,2,0,0,0,0,0,0,0
Sreenath  Aravind,0,0,0,21,0,0,0,8,11,5,0,0
Stuart  Binny,0,0,0,0,3,6,3,4,1,4,0,1
Sudeep  Tyagi,0,5,1,0,0,0,0,0,0,0,0,0
Sumit  Narwal,0,0,5,0,0,0,0,0,0,0,0,0
Sunil  Joshi,1,0,0,0,0,0,0,0,0,0,0,0
Sunil  Narine,0,0,0,0,24,22,21,7,11,10,17,10
Suraj  Randiv,0,0,0,6,0,0,0,0,0,0,0,0
Suresh  Raina,1,7,6,4,2,1,1,2,0,1,0,0
Suryakumar  Yadav,0,0,0,0,0,0,0,0,0,0,0,0
Swapnil  Singh,0,0,0,0,0,0,0,0,0,1,0,0
Syed  Mohammad,0,0,0,5,0,3,0,0,0,0,0,0
T  Natarajan,0,0,0,0,0,0,0,0,0,2,0,0
Tabraiz  Shamsi,0,0,0,0,0,0,0,0,3,0,0,0
Tejas  Baroka,0,0,0,0,0,0,0,0,0,0,0,0
Thilan  Thushara,0,3,5,0,0,0,0,0,0,0,0,0
Thisara  Perera,0,0,0,2,0,19,0,1,9,0,0,0
Tillakaratne  Dilshan,1,0,3,1,0,0,0,0,0,0,0,0
Tim  Southee,0,0,0,4,0,0,0,6,9,3,5,1
Tirumalasetti  Suman,0,5,0,0,0,1,0,0,0,0,0,0
Tom  Curran,0,0,0,0,0,0,0,0,0,0,6,0
Travis  Head,0,0,0,0,0,0,0,0,0,2,0,0
Trent  Boult,0,0,0,0,0,0,0,9,1,5,18,5
Tymal  Mills,0,0,0,0,0,0,0,0,0,5,0,0
Tyron  Henderson,0,1,0,0,0,0,0,0,0,0,0,0
Umar  Gul,12,0,0,0,0,0,0,0,0,0,0,0
Umesh  Yadav,0,0,6,2,19,16,11,10,10,17,20,8
Varun  Aaron,0,0,0,2,8,0,16,3,2,7,0,4
Varun  Chakravarthy,0,0,0,0,0,0,0,0,0,0,0,1
Veer  Pratap Singh,0,0,0,0,10,0,0,0,0,0,0,0
Venugopal  Rao,2,4,0,0,0,0,0,0,0,0,0,0
Vidyut  Sivaramakrishnan,1,0,0,0,0,0,0,0,0,0,0,0
Vijay  Shankar,0,0,0,0,0,0,0,0,0,0,1,1
Vikram  Singh,11,1,0,0,0,0,0,0,0,0,0,0
Vikramjeet  Malik,0,2,1,0,0,2,1,0,0,0,0,0
Vikrant  Yeligati,0,0,0,0,0,0,0,0,0,0,0,0
Vinay  Kumar,5,9,16,12,19,23,7,7,3,2,2,0
Virat  Kohli,2,0,0,2,0,0,0,0,0,0,0,0
Virender  Sehwag,3,0,3,0,0,0,0,0,0,0,0,0
Washington  Sundar,0,0,0,0,0,0,0,0,0,8,4,4
Wayne  Parnell,0,0,0,9,5,6,6,0,0,0,0,0
Wilkin  Mota,1,3,0,0,0,0,0,0,0,0,0,0
Yo  Mahesh,16,0,1,0,3,0,0,0,0,0,0,0
Yogesh  Nagar,0,0,0,1,0,0,0,0,0,0,0,0
Yusuf  Abdulla,0,14,1,0,0,0,0,0,0,0,0,0
Yusuf  Pathan,8,7,5,13,3,1,0,2,1,1,1,0
Yuvraj  Singh,3,6,5,9,0,6,5,1,0,1,0,0
Yuzvendra  Chahal,0,0,0,0,0,0,12,23,21,14,12,18
Zaheer  Khan,13,6,15,14,17,5,5,7,10,10,0,0
